season,team_page,player_link,playername,birth,pos,ht,wt,experience
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/DET/2018.html,/players/b/bradlav01.html,Avery Bradley,us,SG,6-3,180,7
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
